Global_ID,S.No,Report Year,Incident Number,Grade Crossing ID,Date,AM/PM,Time,County Code,County Name,State Code,State Name,Highway User,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Second Highway User,Second Vehicle Direction Code,Second Vehicle Direction,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,User Age,User Sex,Highway User Action Code,Highway User Action,Estimated Vehicle Speed,Train Speed,Estimated/Recorded Speed,Vehicle Damage Cost,Narrative,Total Killed Form 57,Total Injured Form 57
5073,5073,2014,0414FW015,796084W,2014-04-09,PM,09:25 PM,441.0,TAYLOR,48.0,TEXAS,Pick-up truck,1,North,2.0,Stopped on crossing,,,,60.0,4.0,Dark,2.0,Cloudy,1.0,Main,Crossbucks,Other,,,,,,Dry,1,Both sides,52.0,Female,4.0,Stopped on crossing,0.0,40.0,,800.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (NO GATES).,0,0
5074,5074,2014,0414FW016,598488W,2014-04-11,PM,04:46 PM,497.0,WISE,48.0,TEXAS,Truck-trailer,3,East,3.0,Moving over crossing,,,,80.0,2.0,Day,1.0,Clear,1.0,Main,Stop signs,,,,,,,Dry,1,Both sides,26.0,Male,3.0,Did not stop,5.0,25.0,,50000.0,HIGHWAY USER'S ACTIONS: DID NOT STOP.  TRAIN STRUCK THE REAR PORTION OF THE TRAILER/NO INJURIES.,0,0
5075,5075,2014,0414FW021,839248H,2014-04-13,PM,11:25 PM,363.0,PALO PINTO,48.0,TEXAS,Auto,4,West,1.0,Stalled or stuck on crossing,,,,50.0,4.0,Dark,2.0,Cloudy,1.0,Main,Stop signs,,,,,,,Dry,1,Both sides,30.0,Female,4.0,Stopped on crossing,0.0,30.0,,800.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (NO GATES).,0,0
5076,5076,2014,0414FW036,794926K,2014-04-30,AM,07:56 AM,113.0,DALLAS,48.0,TEXAS,Pick-up truck,2,South,4.0,Trapped on crossing by traffic,,,,67.0,2.0,Day,2.0,Cloudy,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,Crossbucks,,,Dry,1,Both sides,29.0,Male,4.0,Stopped on crossing,,30.0,,5000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED),0,0
5077,5077,2014,0714WH006,598470L,2014-07-04,PM,04:56 PM,497.0,WISE,48.0,TEXAS,Auto,3,East,3.0,Moving over crossing,,,,95.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,32.0,Male,5.0,Other,1.0,30.0,,800.0,HIGHWAY USER'S ACTIONS: STOPPED AND THEN PROCEEDED.  OTHER: DRIVER STOPPED SHORT OF THE CROSSING GATES THEN ROLLED INTO THE 70TH CAR CEFX68035 IN THE CONSIST AND WAS STRUCK IN THE FRONT BUMPER OF VEHICLE/NO INJURIES.,0,0
5078,5078,2014,TX0614202,275013L,2014-06-13,PM,12:38 PM,485.0,WICHITA,48.0,TEXAS,Auto,1,North,2.0,Stopped on crossing,,,,90.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,,,,,,Dry,1,Both sides,91.0,Female,5.0,Other,0.0,56.0,,2000.0,,1,0
5079,5079,2014,14041001,329522L,2014-04-10,AM,07:55 AM,245.0,JEFFERSON,48.0,TEXAS,Truck,3,East,3.0,Moving over crossing,,,,65.0,2.0,Day,1.0,Clear,2.0,Yard,Gates,Standard FLS,Crossbucks,Flagged by crew,,,,Dry,1,Both sides,54.0,Male,1.0,Went around the gate,5.0,2.0,,1000.0,ANCHOR MACHINE WAS HIT BY TRUCK AT A CROSSING WHEN THE TRUCK FAILED TO STOP.,0,0
5080,5080,2014,14041201,436013H,2014-04-12,AM,01:35 AM,409.0,SAN PATRICIO,48.0,TEXAS,Auto,1,North,5.0,Blocked on crossing by gates,,,,64.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,,,,,Dry,1,Both sides,38.0,Male,4.0,Stopped on crossing,,48.0,,2000.0,"TRAIN STRUCK A VEHICLE AT CROSSING IN SINTON, TX ON THE UP BROWNSVILLE SUBDIVISION.",0,2
5081,5081,2013,0813HO001,743823V,2013-08-02,AM,05:12 AM,89.0,COLORADO,48.0,TEXAS,Truck-trailer,2,South,2.0,Stopped on crossing,,,,85.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,32.0,Male,4.0,Stopped on crossing,0.0,25.0,,50000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED). DRIVER WAS NOT IN VEHICLE AT TIME OF IMPACT,0,0
5082,5082,2014,0714SA001,448476P,2014-07-07,AM,11:58 AM,163.0,FRIO,48.0,TEXAS,Auto,3,East,1.0,Stalled or stuck on crossing,,,,96.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,53.0,Male,4.0,Stopped on crossing,0.0,52.0,,500.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED).  DRIVER NOT IN VEHICLE AT TIMEOF IMPACT.,0,0
5083,5083,2014,0714SA008,742647W,2014-07-15,PM,01:20 PM,187.0,GUADALUPE,48.0,TEXAS,Truck-trailer,2,South,1.0,Stalled or stuck on crossing,,,,95.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,25.0,Male,4.0,Stopped on crossing,0.0,40.0,,10000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED).,0,0
5084,5084,2014,0714SA015,448979H,2014-07-25,AM,08:25 AM,283.0,LA SALLE,48.0,TEXAS,Truck,3,East,3.0,Moving over crossing,,,,90.0,2.0,Day,1.0,Clear,1.0,Main,Cantilever FLS,Audible,,,,,,Dry,1,Both sides,20.0,Male,3.0,Did not stop,30.0,59.0,,30000.0,"HIGHWAY USER'S ACTIONS: DID NOT STOP.  PASSENGER WAS THE ONLY ONE INJURED, DRIVER WAS NOT.",0,1
5085,5085,2013,0213LV008,762730C,2013-02-19,AM,08:00 AM,245.0,JEFFERSON,48.0,TEXAS,Truck-trailer,1,North,1.0,Stalled or stuck on crossing,,,,58.0,2.0,Day,1.0,Clear,1.0,Main,Stop signs,,,,,,,Dry,1,Both sides,42.0,Male,4.0,Stopped on crossing,0.0,59.0,,50000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (NO GATES).  DRIVER OF VEHICLE WAS INJURED AND A PERSONOUTSIDE THE VEHICLE THAT WAS WORKING TO FREE THE VEHICLE WAS FATALLY INJURED.,1,3
