Global_ID,S.No,Report Year,Incident Number,Grade Crossing ID,Date,AM/PM,Time,County Code,County Name,State Code,State Name,Highway User,Vehicle Direction Code,Vehicle Direction,Highway User Position Code,Highway User Position,Second Highway User,Second Vehicle Direction Code,Second Vehicle Direction,Temperature,Visibility Code,Visibility,Weather Condition Code,Weather Condition,Track Type Code,Track Type,Crossing Warning Expanded 1,Crossing Warning Expanded 2,Crossing Warning Expanded 3,Crossing Warning Expanded 4,Crossing Warning Expanded 5,Crossing Warning Expanded 6,Crossing Warning Expanded 7,Roadway Condition,Crossing Warning Location Code,Crossing Warning Location,User Age,User Sex,Highway User Action Code,Highway User Action,Estimated Vehicle Speed,Train Speed,Estimated/Recorded Speed,Vehicle Damage Cost,Narrative,Total Killed Form 57,Total Injured Form 57
1,1,2025,1125NC016,760980H,2025-11-18,PM,02:23 PM,39.0,MADERA,6.0,CALIFORNIA,Pedestrian,3,East,2.0,Stopped on crossing,,,,56.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,,,,Dry,1,Both sides,52.0,Male,4.0,Stopped on crossing,0.0,50.0,,0.0,"ZLCTM-18, UP3035 HEADING NORTHBOUND STRUCK AND FATALLY INJURED A TRESPASSER SITTING ON TRACK.  CREWIS OK.HIGHWAY USER'S ACTIONS:STOPPED ON CROSSING (BEFORE GATES DESCENDED).",1,0
2,2,2014,20141206,661827U,2014-12-06,PM,07:05 PM,73.0,SAN DIEGO,6.0,CALIFORNIA,Truck,1,North,3.0,Moving over crossing,,,,59.0,4.0,Dark,1.0,Clear,1.0,Main,Hwy. traffic signals,,,,,,,Dry,2,Side of vehicle approach,56.0,Male,3.0,Did not stop,30.0,20.0,,15000.0,"ON DECEMBER 6, 2014 AT APPROXIMATELY 7:04PM, THE OPERATIONS CONTROL CENTER WAS NOTIFIED OF AN ACCIDENT AT THE INTERSECTION OF COMMERCIAL AND 19TH STREET BETWEEN AN AUTOMOBILE AND TRAIN #51 (4008-4045).  THE TRAIN OPERATOR REPORTED THAT AN AUTOMOBILE ON 19TH STREET RAN A RED LIGHT IN FRONT OF THE TRAIN. THE TRAIN OPERATOR SOUNDED THE FEDERAL HORN AND APPLIED THE EMERGENCY BRAKE BUT WAS UNABLE TO AVOID CONTACT WITH THE AUTOMOBILE.  NO INJURIES WERE REPORTED.",0,0
3,3,2015,137200,751258P,2015-04-27,PM,09:39 PM,95.0,SOLANO,6.0,CALIFORNIA,Auto,1,North,3.0,Moving over crossing,,,,50.0,4.0,Dark,2.0,Cloudy,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,Crossbucks,,,Dry,1,Both sides,,,1.0,Went around the gate,25.0,70.0,,10000.0,"TRAIN 551 OPERATING WITH LOCOMOTIVE E/11 AND 4 CARS STRUCK AN OCCUPIED AUTOMOBILE AT MP62.40, FOX RDCROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $9,382.00.",1,1
4,4,2015,SJV709015G,756762U,2015-03-12,AM,06:12 AM,107.0,TULARE,6.0,CALIFORNIA,Pick-up truck,4,West,3.0,Moving over crossing,,,,55.0,1.0,Dawn,4.0,Fog,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,48.0,Male,3.0,Did not stop,20.0,10.0,,,"ON MARCH 12, 2015 THE SJVR TRAIN DISPATCHER RECEIVED A CALL FROM THE CALIFORNIA HIGHWAY PATROL REPORTING A MOTORIST HAD STRUCK THE REAR CAR OF A TRAIN MOVING THROUGH AVENUE 336. THE DRIVER RECEIVED ACONCUSSION FROM THIS INCIDENT AND NOTIFIED THE RAILROAD OF THE INJURY ON 12/17/2015.",0,1
5,5,2015,CA0115200,028394Y,2015-01-02,AM,10:18 AM,29.0,KERN,6.0,CALIFORNIA,Truck-trailer,4,West,4.0,Trapped on crossing by traffic,,,,65.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,,,,,,Dry,1,Both sides,34.0,Male,5.0,Other,,47.0,,2000.0,41: PRECEDED GATES,0,0
6,6,2015,CA0115201,028325R,2015-01-15,AM,12:15 AM,107.0,TULARE,6.0,CALIFORNIA,Auto,2,South,1.0,Stalled or stuck on crossing,,,,40.0,4.0,Dark,4.0,Fog,1.0,Main,Gates,Standard FLS,,,,,,Wet,1,Both sides,,Female,5.0,Other,0.0,30.0,,2000.0,DRIVER AGE UNKNOWN.  41: UNOCCUPIED VEHICLE,0,0
7,7,2021,20211201A,754867B,2021-12-01,AM,08:50 AM,81.0,SAN MATEO,6.0,CALIFORNIA,Auto,3,East,4.0,Trapped on crossing by traffic,,,,63.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Male,4.0,Stopped on crossing,,62.0,,0.0,"CALTRAIN 705 WAS TRAVELING NORTHBOUND EXPRESSING THROUGH THE SAN BRUNO STATION. AS THEY WERE COMINGOUT OF THE CURVE THE ENGINEER NOTICED A CAR WAS STOPPED ON THE CROSSING AT SCOTT STREET MT-1. THE ENGINEER BLEW HIS HORN SEQUENCE, AS REQUIRED BY GCOR 5.8.2. AS HE WAS DOING SO, THE VEHICLE ON THE TRACKS MADE EVERY ATTEMPT TO GET OFF THE TRACKS. THE DRIVER WAS UNABLE TO NAVIGATE OUT OF THE CROSSING,SO THE DRIVER EXITED THE VEHICLE. TRAIN 705 STRUCK THE CAR AND TRAVELED 1532 FEET BEFORE STOPPING.",0,0
8,8,2021,20211202C,755011Y,2021-12-02,PM,08:04 PM,85.0,SANTA CLARA,6.0,CALIFORNIA,Auto,4,West,1.0,Stalled or stuck on crossing,,,,50.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Male,4.0,Stopped on crossing,0.0,65.0,,0.0,"AS TRAIN 515 WAS APPROACHING CHARLESTON RD, THE ENGINEER NOTICED A CAR WAS STOPPED ON THE CHARLESTONRD CROSSING. THE ENGINEER STARTED HIS HORN SEQUENCE, AS HE WAS DOING SO TRAIN 515 STRUCK THE VEHICLE AT 8:04PM. AS TRAIN 516 WAS APPROACHING CHARLESTON RD, THE ENGINEER NOTICED A CAR WAS STOPPED ON THE CROSSING AT CHARLESTON RD MT-2. THE VEHICLE HAD JUST BEEN STRUCK BY NB TRAIN 515. THE ENGINEER PUT THE TRAIN INTO EMERGENCY BREAKING AND STARTED HIS HORN SEQUENCE AND STRUCK THE VEHICLE AT 8:06PM.",0,0
9,9,2025,1125NC022,765936M,2025-11-22,PM,11:43 PM,47.0,MERCED,6.0,CALIFORNIA,Auto,3,East,2.0,Stopped on crossing,,,,45.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,,,,,Dry,1,Both sides,36.0,Male,4.0,Stopped on crossing,0.0,60.0,,2500.0,"AMIEGR-22, UP6926 COLLIDED WITH AN UNOCCUPIED VEHICLE AT MP 156.7.HIGHWAY USER'S ACTIONS:STOPPED ONCROSSING (BEFORE GATES DESCENDED).",0,1
10,10,2025,1125NC025,749868X,2025-11-26,AM,05:55 AM,1.0,ALAMEDA,6.0,CALIFORNIA,Auto,3,East,2.0,Stopped on crossing,,,,48.0,1.0,Dawn,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,,,,,Dry,1,Both sides,,,4.0,Stopped on crossing,0.0,6.0,,2500.0,MOAOA-26 WAS APPROACHING KNIGHT STREET AT 13 MPH AND DISCOVERED AN ABANDONED UNOCCUPIED VEHICLE ON THE CROSSING. THEY ATTEMPTED TO STOP THE TRAIN BY PUTTING THEMSELVES INTO EMERGENCY. THEY STRUCK THEVEHICLE GOING NO MORE THAN 5MPH WITH THEIR LEAD UNIT UP6698. THERE WERE NO INJURIES TO THE CREW OR PUBLIC.AGE AND GENDER OF DRIVER UNKNOWN.HIGHWAY USER'S ACTIONS:STOPPED ON CROSSING (BEFORE GATES DESCENDED).,0,0
11,11,2024,CFN816324G,765992U,2024-05-30,PM,02:15 PM,47.0,MERCED,6.0,CALIFORNIA,Truck-trailer,1,North,3.0,Moving over crossing,,,,88.0,2.0,Day,1.0,Clear,1.0,Main,Stop signs,Crossbucks,Other,,,,,Dry,1,Both sides,65.0,Male,3.0,Did not stop,4.0,23.0,,10000.0,"LOCOMOTIVE TRAVELING NORTHBOUND SOUNDING BELLS AND WHISTLES. AS TRAIN APPROACHED 3RD ST CROSSING SOUNDING BELLS AND WHISTLES, A SEMI-TRUCK WITH A TRAILER PULLED UP IN FRONT OF TRAIN RESULTING IN LOCOMOTIVE STRIKING VEHICLE ON DRIVER SIDE IN THE MIDDLE/CENTER OF TRAILER. PAVEMENT MARKINGS PRESENT ATCROSSING.",0,0
12,12,2024,CA0624202,028667R,2024-06-16,PM,02:55 PM,47.0,MERCED,6.0,CALIFORNIA,Motorcycle,2,South,1.0,Stalled or stuck on crossing,,,,90.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Male,1.0,Went around the gate,0.0,50.0,,2000.0,Z-WSPNBY1-14U ON MAIN 2 TRACK STRUCK AN UNOCCUPIED MOTORCYCLE THAT WENT AROUND THE GATES AT A HGX. NO DERAILMENT. NO HAZMAT RELEASE. USER'S AGE UNKNOWN,0,0
13,13,2020,163588,752756C,2020-03-22,AM,11:15 AM,67.0,SACRAMENTO,6.0,CALIFORNIA,Pedestrian,3,East,3.0,Moving over crossing,,,,60.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,Crossbucks,,,Dry,1,Both sides,54.0,Female,1.0,Went around the gate,,79.0,,0.0,TRAIN 701 STRUCK A SHOPPING CART BEING PUSHED BY A PERSON CROSSING THE TRACKS AT MP 45.72 FLORIN RDCROSSING. THE DAMAGE WAS LIMITED TO THE SEPARATION OF COMPRESSED AIR HOSES. THE PEDESTRIAN FLED THESCENE AND WAS LATER FOUND AND TRANSPORTED TO UCDAVIS MEDICAL CENTER FOR TREATMENT.,0,1
14,14,2018,156833,746804B,2018-12-19,PM,07:36 PM,37.0,LOS ANGELES,6.0,CALIFORNIA,Pedestrian,4,West,3.0,Moving over crossing,,,,65.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Male,1.0,Went around the gate,,72.0,,0.0,"TRAIN 785 FATALLY STRUCK A PEDESTRIAN AT MP 7.99, DORAN AVE CROSSING.  IT WAS REPORTED THAT THE PEDESTRIAN WAS WALKING ON THE MAIN TRACK AT THE CROSSING AND WEARING HEAD PHONES.",1,0
15,15,2019,20191009A,754749Y,2019-10-09,PM,10:16 PM,75.0,SAN FRANCISCO,6.0,CALIFORNIA,Auto,3,East,2.0,Stopped on crossing,,,,65.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,Crossbucks,,,Dry,1,Both sides,78.0,Male,4.0,Stopped on crossing,0.0,30.0,,10000.0,"AFTER EXITING TUNNEL 1 AND COMING AROUND THE CURVE AT CP COMMON, THE ENGINEER NOTICED A VEHICLE ON THE TRACK AT THE 16TH STREET CROSSING. THE ENGINEER PUT THE TRAIN INTO EMERGENCY BRAKING AND STRUCK THE UNOCCUPIED VEHICLE.  THIS REPORT WAS FILED LATE AS IT WAS MISSED DURING THE INITIAL SUBMISSION.**REVISED WITH DRIVER'S AGE AND GENDER ON 6/18/2020.",0,0
16,16,2020,163796,026818W,2020-04-02,PM,04:50 PM,73.0,SAN DIEGO,6.0,CALIFORNIA,Pick-up truck,4,West,3.0,Moving over crossing,,,,0.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,39.0,Male,1.0,Went around the gate,25.0,61.0,,23087.0,TRAIN 580 WITH CAMERA-EQUIPPED LOCOMOTIVE CDTX/2118 AND 6 CARS STRUCK AN OCCUPIED PICK-UP TRUCK AT MP 228.0 CASSIDY ST CROSSING. THE DRIVER ENTERED THE TRAIN RIGHT OF WAY AND CROSSED THE PATH OF THE ONCOMING TRAIN.,0,1
17,17,2020,164099,749774W,2020-04-12,AM,09:17 AM,1.0,ALAMEDA,6.0,CALIFORNIA,Other,3,East,3.0,Moving over crossing,,,,65.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Audible,Crossbucks,,,,,Dry,1,Both sides,,Male,1.0,Went around the gate,25.0,79.0,,200.0,TRAIN 527 WITH LOCOMOTIVE CDTX/2010 AND 5 CARS STRUCK A PEDESTRIAN RIDING A BICYCLE AT MP 23.01 TENNYSON RD CROSSING. THE PEDESTRIAN WAS A FATALITY. AGE OF THE HIGHWAY USER IS UNKNOWN.,1,0
18,18,2015,138706,749712Y,2015-08-11,PM,05:23 PM,1.0,ALAMEDA,6.0,CALIFORNIA,Pedestrian,1,North,2.0,Stopped on crossing,,,,75.0,3.0,Dusk,1.0,Clear,1.0,Main,Gates,Standard FLS,Wig wags,Audible,Stop signs,,,Dry,1,Both sides,,Male,4.0,Stopped on crossing,0.0,79.0,,0.0,"TRAIN 542 OPERATING WITH CAB CAR C/6962 IN THE LEAD, 4 CARS AND LOCOMOTIVE CDTX 2005 IN PUSH MODE, STRUCK A TRESPASSER AT MP 10.37, HIGH ST CROSSING. THE AGE OF THE TRESPASSER IS UNKNOWN AT THIS TIME.AMTRAKS EQUIPMENT DAMAGE IS $3,981.00.",1,0
19,19,2015,138782,745619D,2015-08-14,AM,06:55 AM,83.0,SANTA BARBARA,6.0,CALIFORNIA,Pedestrian,2,South,3.0,Moving over crossing,,,,70.0,1.0,Dawn,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,60.0,Female,5.0,Other,,60.0,,0.0,"TRAIN 768 OPERATING WITH CAB CAR C/6905, 6 CARS AND E/453 TRAILING STRUCK A PEDESTRIAN AT MP 374.40,EUCALYPTUS LANE CROSSING.  THERE WAS NO EQUIPMENT DAMAGE.",1,0
20,20,2018,041018,026175D,2018-04-10,PM,03:49 PM,71.0,SAN BERNARDINO,6.0,CALIFORNIA,Pedestrian,1,North,3.0,Moving over crossing,,,,95.0,2.0,Day,1.0,Clear,1.0,Main,Gates,,,,,,,Dry,1,Both sides,39.0,Male,8.0,Suicide/attempted suicide,,60.0,,0.0,ML 329 STRUCK PEDESTRIAN AT MP 35.73 MOUNTAIN AVE RESULTING IN A FATALITY. 4/22/2021 UPDATE #41 UPDATED TO 8 SUICIDE.,1,0
21,21,2018,042518,026762E,2018-04-25,PM,06:49 PM,59.0,ORANGE,6.0,CALIFORNIA,Auto,4,West,2.0,Stopped on crossing,,,,74.0,2.0,Day,1.0,Clear,1.0,Main,Gates,,,,,,,Dry,1,Both sides,45.0,Male,5.0,Other,0.0,40.0,,0.0,"ML 814 STRUCK UNOCCUPIED VEHICLE ON HARVARD GRADE CROSSING, MP 179.90. CAR WAS REAR ENDED AND STUCKON TRACKS WHEN TRAIN STRUCK VEHICLE. HWY VEHICLE DAMAGE UNKNOWN. FORM 150 NOT COMPLETED DUE TO IMPACT INVOLVING UNATTENDED VEHICLE W/NO OCCUPANTS IN VEHICLE AT TIME OF IMPACT. NO 55A B/C OF NO INJURIES.NO POLICE REPORT TO CONFIRM INJURY ONLY AGE AND GENDER.",0,0
22,22,2018,152015,026640A,2018-02-16,AM,06:43 AM,59.0,ORANGE,6.0,CALIFORNIA,Auto,1,North,2.0,Stopped on crossing,,,,65.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Standard FLS,Audible,Crossbucks,,,Dry,1,Both sides,,Female,5.0,Other,0.0,25.0,,1588.0,"TRAIN 562 OPERATING WITH LOCOMOTIVE E/455 AND 6 CARS STRUCK AN UNOCCUPIED AUTO INSIDE THE CROSSING AT MP 166.80, ORANGETHORPE AVE.  THERE WERE NO REPORTED INJURIES AT THE TIME OF THE INCIDENT.  THE AGE OF THE DRIVER WAS NOT AVAILABLE.",0,0
23,23,2015,20151108,661892A,2015-11-08,PM,01:37 PM,73.0,SAN DIEGO,6.0,CALIFORNIA,Pedestrian,2,South,3.0,Moving over crossing,,,,74.0,2.0,Day,1.0,Clear,1.0,Main,Stop signs,,,,,,,Dry,2,Side of vehicle approach,21.0,Female,8.0,Suicide/attempted suicide,,27.0,,0.0,A PEDESTRIAN INTENTIONALLY RAN INTO THE PATH OF THE TRAIN AT THE INTERSECTION OF 29TH STREET AND COMMERCIAL STREET.  THE PEDESTRIAN WAS TRANSPORTED TO UCSD TRAUMA AND PASSED AWAY.,1,0
24,24,2015,CA1015203,027656A,2015-10-09,PM,02:30 PM,37.0,LOS ANGELES,6.0,CALIFORNIA,Pedestrian,1,North,3.0,Moving over crossing,,,,104.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,,,,,,Dry,1,Both sides,22.0,Male,5.0,Other,,48.0,,,41: PRECEDED GATES,1,0
25,25,2015,CA1015204,833778C,2015-10-25,PM,03:15 PM,67.0,SACRAMENTO,6.0,CALIFORNIA,Auto,4,West,2.0,Stopped on crossing,,,,80.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,,,,,,Dry,1,Both sides,78.0,Female,5.0,Other,0.0,22.0,,2000.0,41: PRECEDED GATES,0,0
26,26,2015,CA1015205,028209C,2015-10-28,PM,10:15 PM,71.0,SAN BERNARDINO,6.0,CALIFORNIA,Truck-trailer,2,South,2.0,Stopped on crossing,,,,62.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Cantilever FLS,,,,,,Dry,1,Both sides,53.0,Male,5.0,Other,0.0,63.0,,5000.0,41: PRECEDED GATES,0,0
27,27,2015,138825,749712Y,2015-08-14,AM,10:16 AM,1.0,ALAMEDA,6.0,CALIFORNIA,Pedestrian,4,West,3.0,Moving over crossing,,,,69.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Male,1.0,Went around the gate,,79.0,,0.0,"TRAIN 531 OPERATING WITH LOCOMOTIVE E/2006 AND 4 CARS STRUCK A PEDESTRIAN AT MP 10.37, HIGH ST CROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $7,600.00.",1,0
28,28,2015,138823,752158N,2015-08-15,PM,06:51 PM,53.0,MONTEREY,6.0,CALIFORNIA,Other motor vehicle,4,West,3.0,Moving over crossing,,,,75.0,2.0,Day,1.0,Clear,1.0,Main,Stop signs,,,,,,,Dry,1,Both sides,53.0,Female,3.0,Did not stop,15.0,25.0,,0.0,"TRAIN 14 STRUCK A FARM TRACTOR AND TRAILER AT CROSSING.  AMTRAKS EQUIPMENT DAMAGE IS $32,144.00.",0,0
29,29,2015,138850,029644M,2015-08-20,PM,02:45 PM,13.0,CONTRA COSTA,6.0,CALIFORNIA,Pick-up truck,4,West,1.0,Stalled or stuck on crossing,,,,81.0,2.0,Day,1.0,Clear,1.0,Main,Stop signs,,,,,,,Dry,1,Both sides,41.0,Male,4.0,Stopped on crossing,0.0,70.0,,0.0,"TRAIN 713 OPERATING WITH LOCOMOTIVE E/125 AND 5 CARS STRUCK AN OCCUPIED PICKUP TRUCK AT MP 1139.0, APRIVATE CROSSING.  AFTER VEHICLE WAS STRUCK BY THE TRAIN, IT LAUNCHED IN THE AIR AND LANDED ON A WOMAN FLOATING IN A RAFT IN A NEARBY WATERWAY.  AMTRAKS EQUIPMENT DAMAGE IS $28,105.00.",0,2
30,30,2015,0415RS011,752862K,2015-04-09,AM,11:01 AM,99.0,STANISLAUS,6.0,CALIFORNIA,Pedestrian,4,West,3.0,Moving over crossing,,,,62.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Audible,Crossbucks,,,,Dry,1,Both sides,69.0,Male,1.0,Went around the gate,,38.0,,,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING.,0,0
31,31,2015,0415RS018,834290P,2015-04-10,PM,04:00 PM,77.0,SAN JOAQUIN,6.0,CALIFORNIA,Auto,2,South,3.0,Moving over crossing,,,,67.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,44.0,Male,1.0,Went around the gate,10.0,40.0,,10000.0,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - MOVING STRIKING THE 3RD LOCOMOTIVE (UP5710).,0,0
32,32,2016,0916LA008,747246N,2016-09-13,AM,02:18 AM,71.0,SAN BERNARDINO,6.0,CALIFORNIA,Auto,4,West,3.0,Moving over crossing,,,,63.0,4.0,Dark,1.0,Clear,1.0,Main,Crossbucks,,,,,,,Dry,1,Both sides,29.0,Female,3.0,Did not stop,10.0,4.0,,4000.0,HIGHWAY USER DID NOT STOP PRIOR TO ENTERING THE CROSSING AND STRUCK A RAIL CAR.,0,1
33,33,2016,0916LA009,810956W,2016-09-13,PM,04:30 PM,37.0,LOS ANGELES,6.0,CALIFORNIA,Truck,2,South,1.0,Stalled or stuck on crossing,,,,68.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Hwy. traffic signals,Audible,Crossbucks,,,Dry,1,Both sides,45.0,Male,5.0,Other,0.0,4.0,,500.0,HIGHWAY USER WENT THROUGH THE ACTIVATED GATES AND STALLED ON THE CROSSING.  TRAIN CAME ALONG AND STRUCK THE BUMPER OF VEHICLE.  HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - STOPPED,0,0
34,34,2016,0916LA012,811074G,2016-09-09,AM,01:42 AM,37.0,LOS ANGELES,6.0,CALIFORNIA,Pedestrian,3,East,3.0,Moving over crossing,,,,69.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,62.0,Female,8.0,Suicide/attempted suicide,,33.0,,,PEDESTRIAN WAS WALKING EAST ON THE CROSSING AFTER GOING AROUND THE ACTIVATED GATES.  TRAIN BLEW THEWHISTLE AND SHE LOOKED BACK AT THEM WHILE SHE KEPT WALKING AND WAS STRUCK.,1,0
35,35,2016,0916LA023,746904F,2016-09-28,AM,10:48 AM,37.0,LOS ANGELES,6.0,CALIFORNIA,Truck-trailer,2,South,2.0,Stopped on crossing,,,,80.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Standard FLS,Hwy. traffic signals,Audible,Stop signs,Crossbucks,Dry,1,Both sides,59.0,Male,5.0,Other,0.0,32.0,,2500.0,SEMI TRUCK WAS STOPPED ON CROSSING PRIOR TO THE GATES DESCENDING.,0,0
36,36,2015,0415RS025,751224V,2015-04-21,PM,11:50 PM,113.0,YOLO,6.0,CALIFORNIA,Auto,1,North,2.0,Stopped on crossing,,,,54.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,54.0,Male,8.0,Suicide/attempted suicide,0.0,30.0,,5000.0,HIGHWAY USER'S ACTIONS: WENT AROUND THE GATE - STOPPED.,1,0
37,37,2015,0415RS028,750704D,2015-04-26,PM,01:55 PM,19.0,FRESNO,6.0,CALIFORNIA,Pick-up truck,4,West,2.0,Stopped on crossing,,,,72.0,2.0,Day,2.0,Cloudy,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,39.0,Male,5.0,Other,0.0,50.0,,10000.0,HIGHWAY USER'S ACTIONS: STOPPED ON CROSSING (BEFORE GATES DESCENDED).,0,0
38,38,2015,0415LA014,810980X,2015-04-21,AM,05:20 AM,65.0,RIVERSIDE,6.0,CALIFORNIA,Pick-up truck,2,South,3.0,Moving over crossing,,,,56.0,4.0,Dark,2.0,Cloudy,4.0,Industry,Crossbucks,,,,,,,Dry,1,Both sides,35.0,Female,2.0,Stopped and then proceeded,10.0,6.0,,7000.0,HIGHWAY USER'S ACTIONS: STOPPED AND THEN PROCEEDED.,0,0
39,39,2016,20160402A,754873E,2016-04-02,PM,09:38 PM,81.0,SAN MATEO,6.0,CALIFORNIA,Pedestrian,4,West,3.0,Moving over crossing,,,,66.0,4.0,Dark,1.0,Clear,1.0,Main,Gates,Standard FLS,Audible,Crossbucks,,,,Dry,1,Both sides,,Female,5.0,Other,,70.0,,0.0,"CALTRAIN 448 WAS OPERATING FROM THE SAN BRUNO STATION TO THE MILLBRAE STATION WHEN THE ENGINEER SAWA TRESPASSER STANDING IN THE GAUGE OF THE RAIL WITH ANOTHER PERSON NEAR HER OUTSIDE OF THE FOUL AT CENTER STREET.  HE SOUNDED HIS HORN AND AS HE APPROACHED SHE STEPPED FROM IN BETWEEN THE GAUGE TOWARDS THE WEST.  THE TRAIN STRUCK THE TRESPASSER.  THE AGE OF THE TRESPASSER IS UNKNOWN, BUT WAS REPORTED TO BE HIN HER MID-20S.",1,0
40,40,2016,20160706A,754935A,2016-07-06,PM,05:31 PM,81.0,SAN MATEO,6.0,CALIFORNIA,Auto,3,East,2.0,Stopped on crossing,,,,75.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Cantilever FLS,Hwy. traffic signals,Audible,Crossbucks,,,Dry,1,Both sides,,,4.0,Stopped on crossing,0.0,38.0,,0.0,CALTRAIN 269 WAS OPERATING NORTHBOUND JUST DEPARTING REDWOOD CITY STATION AND APPROACHING WHIPPLE AVE. THE ENGINEER SAW A VEHICLE NOT MOVING ON THE TRACKS. THE ENGINEER THEN PUT THE THROTTLE INTO IDLEAND CONTINUED TO SOUND THE HORN AND PLACED THE TRAIN INTO EMERGENCY BRAKING. THE TRAIN STRUCK THE VEHICLE. THE HIGHWAY USER'S GENDER AND AGE ARE NOT KNOWN.,0,0
41,41,2016,20160721C,754879V,2016-07-21,AM,10:26 AM,81.0,SAN MATEO,6.0,CALIFORNIA,Auto,4,West,2.0,Stopped on crossing,,,,70.0,2.0,Day,1.0,Clear,1.0,Main,Gates,Standard FLS,Hwy. traffic signals,Audible,Crossbucks,,,Dry,1,Both sides,,,4.0,Stopped on crossing,0.0,70.0,,0.0,TRAIN 138 WAS OPERATING SOUTHBOUND ON MT2 FROM THE MILLBRAE STATION WHEN THE ENGINEER SAW A CAR FOULING THE PATH OF THE TRAIN ON THE BROADWAY AVENUE CROSSING.  HE PLACED THE TRAIN IN EMERGENCY AND  STRUCK THE VEHICLE. THE HIGHWAY USER'S AGE AND GENDER ARE UNKNOWN.,0,0
42,42,2015,0126151,921632B,2015-01-26,PM,08:28 PM,37.0,LOS ANGELES,6.0,CALIFORNIA,Auto,1,North,3.0,Moving over crossing,,,,62.0,4.0,Dark,3.0,Rain,1.0,Main,Gates,Cantilever FLS,Hwy. traffic signals,,,,,Wet,1,Both sides,61.0,Male,1.0,Went around the gate,20.0,7.0,,2500.0,"DRIVER STOPPED AT GATE THEN BACKED UP, DROVE AROUND GATES AND WAS STRUCK BY TRAIN.",0,0
43,43,2013,20131119,661808P,2013-11-19,PM,03:35 PM,73.0,SAN DIEGO,6.0,CALIFORNIA,Pedestrian,4,West,3.0,Moving over crossing,,,,64.0,2.0,Day,1.0,Clear,1.0,Main,Standard FLS,,,,,,,Dry,2,Side of vehicle approach,20.0,Male,8.0,Suicide/attempted suicide,,40.0,,0.0,"TRAIN #4 (2011-2023-2046) WAS OPERATING EASTBOUND (SOUTH) ON APPROACH TO CIVIC CENTER DRIVE GRADE CROSSING WHEN THE TRAIN OPERATOR OBSERVED A PEDESTRIAN RUNNING WEST ON CIVIC CENTER DRIVE.  THE TRAINOPERATOR SOUNDED THE FEDERAL HORN AND APPLIED THE EMERGENCY BRAKE.  THE PEDESTRIAN CONTINUED TO RUNTOWARD THE TRAIN, MAKING CONTACT WITH THE FRONT-LEFT SIDE OF THE LEAD LRV.  THE PEDESTRIAN WAS PRONOUNCED DEAD AT THE SCENE.  NO INJURIES WERE REPORTED ONBOARD THE TRAIN.",1,0
